NumberOfTweets,Movie,Location
314,Avengers End Game,United States
231,Avengers End Game,M̩xico
182,Avengers End Game,Mexico
175,Avengers End Game,"Los Angeles, CA"
128,Avengers End Game,"California, USA"
109,Avengers End Game,"London, England"
98,Avengers End Game,"Houston, TX"
81,Avengers End Game,"Chicago, IL"
77,Avengers End Game,"New York, NY"
67,Avengers End Game,United Kingdom
65,Avengers End Game,"New York, USA"
62,Avengers End Game,"Paris, France"
62,Avengers End Game,"Texas, USA"
61,Avengers End Game,"Rio de Janeiro, Brasil"
59,Avengers End Game,"Florida, USA"
56,Avengers End Game,"Buenos Aires, Argentina"
52,Avengers End Game,London
51,Avengers End Game,Venezuela
49,Avengers End Game,Brasil
49,Avengers End Game,"England, United Kingdom"
